system,variant,seed,device,best_energy,n_minima,force_evaluations,energy_evaluations,duplicate_rate,proposal_relax_count,proposal_relax_mean_iterations,bias_steps,direct_qp_steps,direct_qp_rejected,direct_qp_mean_step_norm,direct_qp_mean_progress,direct_qp_mean_target_error,direct_qp_mean_model_error,direct_qp_trust_shrink_steps,direct_qp_trust_expand_steps,direct_qp_gamma_mean,direct_qp_kappa_mean,direct_qp_micro_count,direct_qp_micro_mean_iterations,direct_qp_micro_displacement_rms_mean,direct_qp_micro_displacement_max,true_quench_count,true_quench_mean_iterations,nearest_min,nearest_median,wall_time_s,summary_path
c60,bias_relax_current,42,cuda,-507.7607421875,420,245444,245444,0.16,1901,69.8132561809574,2164,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,501,56.445109780439125,1.3942257428437386,1.41372017318835,4929.46205663681,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/c60_bias_relax_current_seed42_trials500_cuda/ssw_summary.json
c60,direct_qp_rank1_gated_q25_micro_adaptive50,42,cuda,-507.78228759765625,287,213279,213279,0.42714570858283435,0,0.0,0,3752,41,0.9665574233843528,0.9664113815032181,0.20072776951857138,6.350500306359675,655,3056,1.0018238731252573,240.0,3711,10.235246564268392,0.049572281503949954,1.9549332774643646,501,84.62674650698602,1.3908957747586517,1.4144982866884566,3912.7414457798004,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/c60_direct_qp_rank1_gated_q25_micro_adaptive50_seed42_trials500_cuda/ssw_summary.json
c60,direct_qp_curvature_gamma_kappa240,42,cuda,-488.3553466796875,392,219746,219746,0.2,0,0.0,0,2972,209,1.0417719647911228,1.0202758671370007,0.24508812766745558,1.0655279961511126,165,2598,18.439142277856032,240.0,0,0.0,0.0,0.0,501,237.88622754491018,1.2375843560755164,1.277748244754735,4364.818745851517,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/c60_direct_qp_curvature_gamma_kappa240_seed42_trials500_cuda/ssw_summary.json
cuo,bias_relax_current,42,cuda,-202.26119995117188,500,489168,489168,0.001996007984031936,2092,296.67351816443596,2096,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,501,73.49101796407186,1.8155420894720884,2.415847988636484,15686.326117277145,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/cuo_bias_relax_current_seed42_trials500_cuda/ssw_summary.json
cuo,direct_qp_rank1_gated_q25_micro_adaptive50,42,cuda,-202.13876342773438,326,154939,154939,0.34930139720558884,0,0.0,0,3739,0,0.7050782082365307,0.7049958076892661,0.12021849937544235,7.5090336648809215,1090,2649,1.0010020109278825,240.0,3739,11.678523669430328,0.06735926992369812,2.034645692496021,501,30.095808383233532,1.8254099880079975,2.170932474738109,5238.122572422028,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/cuo_direct_qp_rank1_gated_q25_micro_adaptive50_seed42_trials500_cuda/ssw_summary.json
cuo,direct_qp_curvature_gamma_kappa240,42,cuda,-202.59031677246094,474,122836,122836,0.05389221556886228,0,0.0,0,3984,0,0.764566669927507,0.745375416779551,0.1673432139119871,1.635373548850564,399,3585,12.32542941968219,240.0,0,0.0,0.0,0.0,501,63.4251497005988,1.8164929897993842,2.4298971488282373,4784.538630723953,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/cuo_direct_qp_curvature_gamma_kappa240_seed42_trials500_cuda/ssw_summary.json
pdo,bias_relax_current,42,cuda,-575.30810546875,449,174158,174158,0.10379241516966067,935,112.64812834224598,1077,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,501,55.81636726546906,1.9229762688732346,2.679681932761594,4897.616708278656,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/pdo_bias_relax_current_seed42_trials500_cuda/ssw_summary.json
pdo,direct_qp_rank1_gated_q25_micro_adaptive50,42,cuda,-576.8526611328125,409,146393,146393,0.18363273453093812,0,0.0,0,3686,31,1.0282639454713118,1.0281826744809404,0.18496387304354886,1.7513605151562714,602,3053,1.0,240.0,3655,8.560601915184678,0.04973605528015682,1.897468022989715,501,40.634730538922156,1.932921322918074,2.6603287180651773,4122.180247306824,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/pdo_direct_qp_rank1_gated_q25_micro_adaptive50_seed42_trials500_cuda/ssw_summary.json
pdo,direct_qp_curvature_gamma_kappa240,42,cuda,-575.6696166992188,373,80151,80151,0.2554890219560878,0,0.0,0,2526,361,1.1156540305281586,1.0990771381843976,0.20143258445955828,0.7381998202820669,126,2039,11.301261323571271,240.0,0,0.0,0.0,0.0,501,44.76447105788423,1.940175470786584,2.679681932761594,2421.5612964630127,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-production-500t-c60-cuo-pdo/output/pdo_direct_qp_curvature_gamma_kappa240_seed42_trials500_cuda/ssw_summary.json
