system,variant,seed,device,best_energy,n_minima,force_evaluations,energy_evaluations,duplicate_rate,proposal_relax_count,proposal_relax_mean_iterations,bias_steps,direct_qp_steps,direct_qp_rejected,direct_qp_mean_step_norm,direct_qp_mean_progress,direct_qp_mean_target_error,direct_qp_mean_model_error,direct_qp_trust_shrink_steps,direct_qp_trust_expand_steps,direct_qp_gamma_mean,direct_qp_kappa_mean,direct_qp_micro_count,direct_qp_micro_mean_iterations,direct_qp_micro_displacement_rms_mean,direct_qp_micro_displacement_max,direction_selected_ritz,direction_selected_ritz_reg,direction_selected_momentum,direction_selected_bond,direction_selected_random,direction_candidate_evaluations,direction_mean_candidate_pool_size,true_quench_count,true_quench_mean_iterations,nearest_min,nearest_median,wall_time_s,summary_path
c60,direct_qp_system_baseline,42,cuda,-497.47723388671875,31,14362,14362,0.24390243902439024,0,0.0,0,271,10,0.9753887547295658,0.9751857138091096,0.19117355068473513,10.357341890002619,56,205,1.0113778490908165,240.0,261,11.900383141762452,0.06762150641115003,1.4465326133611478,0,0,219,11,41,3483,12.85239852398524,41,43.048780487804876,1.3051986132687659,1.4126915160083646,279.1043469905853,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/c60_direct_qp_system_baseline_seed42_trials40_cuda/ssw_summary.json
c60,direct_qp_system_baseline_regularized_ritz,42,cuda,-501.95306396484375,34,16329,16329,0.17073170731707318,0,0.0,0,297,5,0.9664106160894691,0.9662457799612959,0.20059788887006996,5.802981010112093,59,233,1.0032830076360537,240.0,292,11.482876712328768,0.05730769999460644,1.0208171672710598,0,113,137,5,42,4118,13.865319865319865,41,59.26829268292683,1.2728937012447274,1.413482589915729,318.4678146839142,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/c60_direct_qp_system_baseline_regularized_ritz_seed42_trials40_cuda/ssw_summary.json
c60,direct_qp_system_baseline_rayleigh_ritz,42,cuda,-503.0376892089844,32,15870,15870,0.21951219512195122,0,0.0,0,309,7,0.9868470091469266,0.9866874728530552,0.18008234156566966,5.349512380217711,50,252,1.0040757916343874,240.0,302,10.082781456953642,0.05255017717460653,1.1002127781923092,104,0,162,4,39,4286,13.870550161812298,41,48.02439024390244,1.3811295218825994,1.4118365951402598,313.0744352340698,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/c60_direct_qp_system_baseline_rayleigh_ritz_seed42_trials40_cuda/ssw_summary.json
cuo,direct_qp_system_baseline,42,cuda,-202.1632080078125,40,9997,9997,0.024390243902439025,0,0.0,0,319,0,0.7651257588839089,0.7457893585469532,0.170432267023728,1.4722195136545158,34,285,12.62437967817811,240.0,0,0.0,0.0,0.0,0,0,264,16,39,2831,8.87460815047022,41,65.4390243902439,1.826241845139273,2.128545616456868,358.3723683357239,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/cuo_direct_qp_system_baseline_seed42_trials40_cuda/ssw_summary.json
cuo,direct_qp_system_baseline_regularized_ritz,42,cuda,-202.027587890625,39,9706,9706,0.04878048780487805,0,0.0,0,320,0,0.7699447977343704,0.7497532084759128,0.17049197135705557,1.1576215427681622,34,286,11.808401079401618,240.0,0,0.0,0.0,0.0,0,30,236,21,33,3160,9.875,41,59.1219512195122,1.8210354296200908,2.230109825087273,375.9445049762726,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/cuo_direct_qp_system_baseline_regularized_ritz_seed42_trials40_cuda/ssw_summary.json
cuo,direct_qp_system_baseline_rayleigh_ritz,42,cuda,-201.390869140625,38,9719,9719,0.07317073170731707,0,0.0,0,319,0,0.7737845164320281,0.7495100053854407,0.17247292879990478,1.1625466356847542,26,293,11.99781310427171,240.0,0,0.0,0.0,0.0,41,0,226,23,29,3150,9.87460815047022,41,59.31707317073171,1.8211954148348002,2.448932802590481,355.3756992816925,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/cuo_direct_qp_system_baseline_rayleigh_ritz_seed42_trials40_cuda/ssw_summary.json
pdo,direct_qp_system_baseline,42,cuda,-574.8510131835938,36,12074,12074,0.12195121951219512,0,0.0,0,301,2,1.0244314589079018,1.0243508548477562,0.18865904897450653,1.7955984479249099,50,249,1.0,240.0,299,8.414715719063546,0.05487385403392007,1.3157737591704513,0,0,249,11,41,2669,8.867109634551495,41,43.63414634146341,1.8986167234809812,2.6770267479893577,327.249707698822,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/pdo_direct_qp_system_baseline_seed42_trials40_cuda/ssw_summary.json
pdo,direct_qp_system_baseline_regularized_ritz,42,cuda,-573.10009765625,36,12373,12373,0.12195121951219512,0,0.0,0,313,1,1.0161702726818749,1.0160908074687995,0.1971937397996551,1.5331218216335845,54,258,1.0,240.0,312,7.839743589743589,0.047614702701107334,1.1655702276414044,0,72,193,12,36,3090,9.87220447284345,41,45.24390243902439,1.3529650161146651,2.679681932761594,337.92432737350464,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/pdo_direct_qp_system_baseline_regularized_ritz_seed42_trials40_cuda/ssw_summary.json
pdo,direct_qp_system_baseline_rayleigh_ritz,42,cuda,-573.5107421875,38,12064,12064,0.07317073170731707,0,0.0,0,298,1,1.0379157682084927,1.0378182547226211,0.17612182024529183,1.5859827717333443,52,245,1.0,240.0,297,8.01010101010101,0.0495839496448861,0.9871606526494583,58,0,194,11,35,2940,9.865771812080537,41,47.53658536585366,1.4075510562086724,2.679681932761594,329.6156301498413,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260602-ritz-cuda-40t-ablation/output/pdo_direct_qp_system_baseline_rayleigh_ritz_seed42_trials40_cuda/ssw_summary.json
