system,variant,seed,device,best_energy,n_minima,force_evaluations,energy_evaluations,duplicate_rate,bias_steps,reference_dimer_steps,reference_dimer_converged,direct_qp_steps,direct_qp_rejected,wall_time_s,summary_path
c60,paw_ucb_reference_dimer_bias_relax,0,cuda,-495.79217529296875,31,14701,14701,0.24390243902439024,137,137,0,0,0,318.67498660087585,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-fixed-n0-cuda/output/c60_paw_ucb_reference_dimer_bias_relax_seed0_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_bias_relax,1,cuda,-498.9385681152344,18,13208,13208,0.5609756097560976,126,126,0,0,0,243.24950885772705,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-fixed-n0-cuda/output/c60_paw_ucb_reference_dimer_bias_relax_seed1_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_bias_relax,2,cuda,-492.9027099609375,25,13253,13253,0.3902439024390244,122,122,0,0,0,247.50376319885254,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-fixed-n0-cuda/output/c60_paw_ucb_reference_dimer_bias_relax_seed2_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_direct_qp_adaptive50,0,cuda,-474.66961669921875,3,12759,12759,0.926829268292683,0,320,0,320,0,237.14369010925293,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-fixed-n0-cuda/output/c60_paw_ucb_reference_dimer_direct_qp_adaptive50_seed0_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_direct_qp_adaptive50,1,cuda,-474.6695861816406,1,12916,12916,0.975609756097561,0,320,0,320,0,247.17429614067078,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-fixed-n0-cuda/output/c60_paw_ucb_reference_dimer_direct_qp_adaptive50_seed1_trials40_cuda/ssw_summary.json
c60,paw_ucb_reference_dimer_direct_qp_adaptive50,2,cuda,-474.66925048828125,1,13094,13094,0.975609756097561,0,320,0,320,0,224.84609842300415,/tmp/SSW-worktrees/direct-qp-ssw/runs/20260601-reference-dimer-fixed-n0-cuda/output/c60_paw_ucb_reference_dimer_direct_qp_adaptive50_seed2_trials40_cuda/ssw_summary.json
